Well folks, looks like we have 539 reactions on our hands
+-------------------------------------------------+---------------+-----------------------------+--------------------+
|                   Reaction ID                   |   Reactant    |           Product           |    EGAT barrier    |
| JQQGJTHDBODIPT_to_CRYATLIDHPPXDV-MHAJPDPJQMAIIY |   OOC1CCO1    |         C1=COC1.OO          | 63.74268341064453  |
|        JQQGJTHDBODIPT_to_WVFPEXSMTPRZJP         |   OOC1CCO1    |          OOC1COC1           | 100.08303833007812 |
| JQQGJTHDBODIPT_to_AHHWIHXENZJRFG-MYMOFIZGZYHOMD |   OOC1CCO1    |         C1COC1.O=O          |   90.80322265625   |
| JQQGJTHDBODIPT_to_IEZWOVIWXFLQTP-WSFSSNUMVMOOMR |   OOC1CCO1    |          C=COO.C=O          | 57.78367614746094  |
|        JQQGJTHDBODIPT_to_YKZHDJKJFXCGCU         |   OOC1CCO1    |        OOC1C[C@@H]1O        | 100.12175750732422 |
|        JQQGJTHDBODIPT_to_LGAKZZVAQHLFSN         |   OOC1CCO1    |          OC/C=C\OO          | 62.267311096191406 |
|        JQQGJTHDBODIPT_to_KYKDRUWGNWYQSD         |   OOC1CCO1    |          OC1CCOO1           |  62.347412109375   |
|        JQQGJTHDBODIPT_to_DTXLZANOYCDGFH         |   OOC1CCO1    |          OCCC1OO1           | 43.699398040771484 |
|        JQQGJTHDBODIPT_to_KQBSGRWMSNFIPG         |   OOC1CCO1    |          C1COOOC1           | 89.83484649658203  |
|        JQQGJTHDBODIPT_to_XDOSUYFJXIIXIM         |   OOC1CCO1    |         CC1(OO)CO1          |  88.5091323852539  |
|        JQQGJTHDBODIPT_to_PQLKATRRSMAICE         |   OOC1CCO1    |          C=C(OC)OO          | 79.30958557128906  |
|        JQQGJTHDBODIPT_to_SHEQRTRCYNGEEJ         |   OOC1CCO1    |         OOC1(O)CC1          | 97.92778778076172  |
|        JQQGJTHDBODIPT_to_CZPZWMPYEINMCF         |   OOC1CCO1    |          CCC(=O)OO          | 74.65636444091797  |
| JQQGJTHDBODIPT_to_UFHFLCQGNIYNRP-YHAGBRCRSSOTCP |   OOC1CCO1    |   OOC12C[C@@H]1O2.[H][H]    | 93.99639129638672  |
| JQQGJTHDBODIPT_to_STDNQZPMIRKDCV-UFHFLCQGNIYNRP |   OOC1CCO1    |      OOC1=CCO1.[H][H]       | 102.61742401123047 |
| JQQGJTHDBODIPT_to_VEZXCJBBBCKRPI-XLYOFNOQVPJJNP |   OOC1CCO1    |         O.O=C1CCO1          | 52.97652053833008  |
|        JQQGJTHDBODIPT_to_MOKACWHZOSFWEI         |   OOC1CCO1    |         OC1(O)CCO1          | 53.177146911621094 |
| JQQGJTHDBODIPT_to_ARCNIFKJKCNTNO-UFHFLCQGNIYNRP |   OOC1CCO1    |     C1CC2(O1)OO2.[H][H]     | 63.832664489746094 |
|        JQQGJTHDBODIPT_to_DNNLBMAZSCRRMG         |   OOC1CCO1    |          OCC1OCO1           |  78.4856185913086  |
|        JQQGJTHDBODIPT_to_OCSVNKWAJGSUKI         |   OOC1CCO1    |          OCOC1CO1           | 71.22843933105469  |
|        JQQGJTHDBODIPT_to_IZHVFAKMAKGJLM         |   OOC1CCO1    |          CC1OCOO1           | 65.02816772460938  |
|        JQQGJTHDBODIPT_to_HREKQTFXSLSXGY         |   OOC1CCO1    |          COC1COO1           | 83.04511260986328  |
|        JQQGJTHDBODIPT_to_CXMXXUXSRBBZSC         |   OOC1CCO1    |          C=CC(O)OO          | 57.71649169921875  |
|        JQQGJTHDBODIPT_to_AQKWQHQQWFSEQR         |   OOC1CCO1    |          CCC1OOO1           | 73.39310455322266  |
| JQQGJTHDBODIPT_to_UFHFLCQGNIYNRP-ZXEDRBJDQBSWAI |   OOC1CCO1    |      OOC1C=CO1.[H][H]       | 119.36534881591797 |
