zip_path,reactant_metal_oxidation_states,product_metal_oxidation_states
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1DT02486H/d1dt02486h1/44_0_2.zip,Ni18:1,Ni18:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1DT02486H/d1dt02486h1/115_0_1.zip,Ni18:0,Ni18:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1DT02486H/d1dt02486h1/107_0_1.zip,Ni11:2,Ni11:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1DT02486H/d1dt02486h1/07_0_2.zip,Ni20:3,Ni20:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1DT02486H/d1dt02486h1/28_0_1.zip,Ni20:0,Ni20:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/chem.201304196/chem_201304196_sm_miscellaneous_information/04_0_1.zip,Ni9:2,Ni9:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/jp3052455/jp3052455_si_001/91_0_2.zip,Ni6:2,Ni6:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acscatal.2c02705/cs2c02705_si_001/117_0_2.zip,Ni0:1,Ni0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/109_Me_3P-Rh-_Cp_OA_TS_triplet_0_1.zip,Rh15:1,Rh15:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/120_6-Rh-_Cp_OA_TS_singlet_0_1.zip,Rh45:3,Rh45:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/110_1-Rh-_Cp_OA_TS_singlet_0_1.zip,Rh42:5,Rh42:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/121_6-Rh-_Cp_OA_TS_triplet_0_1.zip,Rh45:3,Rh45:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/118_5-Rh-_Cp_OA_TS_singlet_0_1.zip,Rh32:3,Rh32:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1126/sciadv.ado9607/sciadv.ado9607_sm/25_0_1.zip,Rh123:0,Rh123:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/ejoc.202100093/ejoc202100093-sup-0001-misc_information/38_0_1.zip,Rh28:0,Rh28:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.6b00036/om6b00036_si_002/17_TS-5_Total_0_2.zip,Rh0:2,Rh0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/164_0_1.zip,Ru68:4,Ru68:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/207_0_1.zip,Ru68:3,Ru68:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/208_0_1.zip,Ru68:3,Ru68:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/58_0_1.zip,Ru65:4,Ru65:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/202_0_1.zip,Ru66:4,Ru66:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/cctc.201601647/cctc201601647-sup-0001-misc_information/04_0_1.zip,Ru0:4,Ru0:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4CC09696G/c4cc09696g1/05_0_1.zip,Ru14:3,Ru14:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.jpca.7b07226/jp7b07226_si_001/61_0_1.zip,Ru8:6;Ru9:8;Ru10:6;Ru11:8,Ru8:8;Ru9:6;Ru10:8;Ru11:6
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1DT04335H/d1dt04335h1/08_0_1.zip,Ir0:2,Ir0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/153_7-Ir-_Cp_OA_TS_triplet_0_1.zip,Ir38:3,Ir38:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/144_OC-Ir-_Cp_OA_TS_singlet_0_1.zip,Ir15:5,Ir15:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/147_Me_3P-Ir-_Cp_OA_TS_triplet_0_1.zip,Ir15:3,Ir15:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CP04080K/d0cp04080k1/151_6-Ir-_Cp_OA_TS_triplet_0_1.zip,Ir45:3,Ir45:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.4c00177/om4c00177_si_002/35_TSBC-II-cb-R_Imaginary_0_1.zip,Ir0:1,Ir0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acscatal.1c02270/cs1c02270_si_001/14_0_1.zip,Ir0:0,Ir0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D2SC02790A/d2sc02790a1/30_0_2.zip,Ir22:1,Ir22:2
